name,gender,age,height,weight,marks
Florella Cucinotta,Female,16,140,43,79
Leona Curbishley,Female,19,148,42,96
Oswell Mioni,Male,19,150,48,94
Sarge Coomber,Genderqueer,15,146,45,66
Clemence Glenn,Female,18,153,45,90
Naoma McCuish,Female,16,166,40,65
Maiga Espin,Female,15,165,40,52
Cosimo Somerlie,Male,15,168,48,93
Terrie Mussotti,Female,18,142,49,91
Mallissa Cristofano,Female,18,144,45,21
Fee Wasielewski,Male,16,150,43,49
Orlando Lowman,Male,17,149,40,49
Lek D'Agostini,Male,18,162,41,80
Claudius Shropshire,Male,18,157,42,50
Windy Bailess,Female,16,170,50,100
Kanya Yonnie,Female,16,143,43,36
Johan Voff,Male,18,141,41,84
Rea Bremen,Female,15,142,43,66
Zacherie Robberts,Male,15,144,47,34
Bryn Raylton,Male,16,157,40,97
Eward Prydie,Male,18,152,48,2
Moritz Hellin,Male,16,152,45,70
Humberto Jeffs,Male,17,154,44,10
Abbe Ventum,Male,18,148,46,47
Roscoe Braunds,Male,18,143,42,72
Dahlia Sarchwell,Female,16,155,47,3
Omar Allam,Male,18,165,40,24
Jammie Potteridge,Female,16,142,41,47
Adriena Fould,Female,18,140,46,56
Bruno D'Oyley,Male,18,154,48,59
Lynelle Jzhakov,Female,15,160,46,92
Durante Grimster,Male,18,161,49,36
Eduardo Del Dello,Male,16,168,40,28
Norman Delgaty,Male,17,165,41,84
Myron Lemme,Male,15,167,48,75
Ody Georgescu,Male,18,165,50,63
Delmor Poynzer,Male,15,159,48,0
Trixie Sircomb,Female,18,160,49,29
Abbie Caistor,Male,19,149,48,4
Jaye Inskipp,Male,17,158,48,69
Selma Popov,Female,18,153,44,48
Harold Christophle,Male,19,163,44,36
Smith Nutkins,Agender,17,153,48,93
Gisele Gunney,Female,19,144,45,10
Marven Joost,Male,19,168,43,95
Genni Kunneke,Genderfluid,15,158,40,93
Travus Tiffin,Male,15,152,48,11
Derrek Ollivier,Male,17,162,45,100
Peterus Lehrmann,Male,19,170,48,25
Carmela Canero,Female,15,164,40,93
Wilhelm Illidge,Male,17,140,42,68
Cary Wyley,Female,16,143,49,95
Blake Emor,Female,17,159,48,20
Corina Blance,Genderqueer,17,155,45,5
Rina Bessell,Female,18,152,42,89
Griffith Delatour,Male,17,167,41,92
Lothario Gilffilland,Non-binary,18,143,40,74
Evin Crehan,Male,19,170,41,10
